MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-10-21,Sp Lisbon,Porto,0.0,1.0,2.1,3.0,2.9,,,,,,,,
2000-10-22,Alverca,Aves,5.0,1.0,1.8,3.2,4.0,,,,,,,,
2000-10-22,Belenenses,Sp Braga,2.0,1.0,2.3,3.0,2.8,,,,,,,,
2000-10-22,Gil Vicente,Salgueiros,0.0,2.0,2.5,2.95,2.65,,,,,,,,
2000-10-22,Maritimo,Est Amadora,2.0,0.0,1.6,3.25,5.1,,,,,,,,
2000-10-22,Farense,Leiria,1.0,1.0,1.9,3.1,3.8,,,,,,,,
2000-10-22,Guimaraes,Beira Mar,1.0,1.0,1.5,3.55,5.3,,,,,,,,
2000-10-27,Sp Braga,Salgueiros,2.0,0.0,1.85,3.2,3.8,,,,,,,,
2000-10-29,Aves,Gil Vicente,1.0,0.0,1.9,2.8,4.0,,,,,,,,
2000-10-29,Beira Mar,Sp Lisbon,0.0,1.0,3.9,3.25,1.8,,,,,,,,
2000-10-29,Belenenses,Pacos Ferreira,0.0,0.0,2.0,2.9,3.5,,,,,,,,
2000-10-29,Est Amadora,Farense,1.0,2.0,2.35,2.9,2.8,,,,,,,,
2000-10-29,Benfica,Campomaiorense,2.0,0.0,1.25,4.5,9.0,,,,,,,,
2000-10-29,Leiria,Guimaraes,1.0,1.0,2.15,3.2,2.8,,,,,,,,
2000-10-30,Boavista,Maritimo,3.0,1.0,1.65,3.2,4.8,,,,,,,,
2000-10-30,Porto,Alverca,6.0,0.0,1.2,4.5,9.8,,,,,,,,
2000-11-03,Sp Lisbon,Leiria,4.0,0.0,1.3,4.3,8.0,,,,,,,,
2000-11-04,Gil Vicente,Porto,2.0,2.0,7.1,3.6,1.43,,,,,,,,
2000-11-04,Farense,Boavista,2.0,2.0,2.4,2.9,2.8,,,,,,,,
2000-11-05,Alverca,Beira Mar,0.0,1.0,1.66,3.3,4.8,,,,,,,,
2000-11-05,Campomaiorense,Belenenses,0.0,1.0,2.8,2.95,2.4,,,,,,,,
2000-11-05,Maritimo,Benfica,3.0,0.0,2.85,3.0,2.3,,,,,,,,
