MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2012-05-26,Portuguesa,Vasco,0.0,1.0,2.62,3.22,2.54,,,,,,,,
2012-05-27,Nautico,Cruzeiro,0.0,0.0,2.67,3.18,2.55,,,,,,,,
2012-05-27,Atletico-MG,Corinthians,1.0,0.0,2.08,3.28,3.43,,,,,,,,
2012-05-27,Coritiba,Botafogo RJ,2.0,3.0,1.77,3.6,4.15,,,,,,,,
2012-05-27,Santos,Sport Recife,0.0,0.0,1.41,4.17,7.46,,,,,,,,
2012-05-27,Sao Paulo,Bahia,1.0,0.0,1.44,4.12,6.93,,,,,,,,
2012-05-27,Fluminense,Figueirense,2.0,2.0,1.65,3.61,5.08,,,,,,,,
2012-05-27,Gremio,Palmeiras,1.0,0.0,1.97,3.33,3.66,,,,,,,,
2012-06-06,Atletico GO,Gremio,0.0,1.0,2.28,3.26,2.96,,,,,,,,
2012-06-06,Sport Recife,Palmeiras,2.0,1.0,2.46,3.17,2.77,,,,,,,,
2012-06-09,Gremio,Atletico GO,2.0,1.0,1.38,4.36,8.09,,,,,,,,
2012-06-09,Cruzeiro,Botafogo RJ,1.0,3.0,1.9,3.42,3.8,,,,,,,,
2012-06-09,Figueirense,Corinthians,1.0,0.0,2.54,3.17,2.68,,,,,,,,
2012-06-09,Sao Paulo,Internacional,1.0,1.0,1.82,3.44,4.15,,,,,,,,
2012-06-10,Sao Paulo,Palmeiras,3.0,0.0,1.95,3.34,3.72,,,,,,,,
2012-06-10,Atletico GO,Vasco,0.0,1.0,3.39,3.24,2.09,,,,,,,,
2012-06-10,Nautico,Corinthians,2.0,1.0,2.3,3.24,2.94,,,,,,,,
2012-06-10,Santos,Internacional,1.0,1.0,2.56,3.14,2.68,,,,,,,,
2012-06-10,Atletico-MG,Figueirense,6.0,0.0,1.33,4.68,8.67,,,,,,,,
2012-06-10,Fluminense,Botafogo RJ,1.0,0.0,2.08,3.27,3.42,,,,,,,,
2012-06-10,Gremio,Cruzeiro,2.0,1.0,1.51,3.94,6.07,,,,,,,,
2012-06-16,Cruzeiro,Figueirense,1.0,0.0,1.72,3.53,4.54,,,,,,,,
2012-06-16,Internacional,Botafogo RJ,1.0,2.0,1.54,3.91,5.7,,,,,,,,
2012-06-17,Fluminense,Portuguesa,4.0,1.0,1.46,4.04,6.8,,,,,,,,
2012-06-17,Bahia,Sport Recife,2.0,1.0,1.96,3.34,3.68,,,,,,,,
2012-06-17,Flamengo RJ,Santos,1.0,0.0,1.63,3.65,5.12,,,,,,,,
2012-06-17,Palmeiras,Vasco,1.0,1.0,2.33,3.24,2.91,,,,,,,,
2012-06-17,Sao Paulo,Atletico-MG,1.0,0.0,2.1,3.23,3.38,,,,,,,,
2012-06-17,Coritiba,Atletico GO,3.0,0.0,1.83,3.42,4.08,,,,,,,,
2012-06-17,Nautico,Gremio,1.0,0.0,2.44,3.26,2.73,,,,,,,,
2012-06-17,Ponte Preta,Corinthians,1.0,0.0,2.15,3.24,3.23,,,,,,,,
2012-06-23,Portuguesa,Sao Paulo,1.0,0.0,3.07,3.28,2.22,,,,,,,,
2012-06-23,Vasco,Cruzeiro,1.0,3.0,1.72,3.59,4.53,,,,,,,,
2012-06-24,Atletico-MG,Nautico,5.0,1.0,1.35,4.54,8.38,,,,,,,,
