MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-10-15,Vitesse,Ajax,3.0,2.0,2.2,3.25,2.7,,,,,,,,
2000-10-20,Ajax,Roda JC,4.0,2.0,1.4,3.9,6.1,,,,,,,,
2000-10-21,Graafschap,Willem II,1.0,1.0,2.4,3.1,2.6,,,,,,,,
2000-10-21,Feyenoord,Heerenveen,2.0,0.0,1.45,3.65,5.3,,,,,,,,
2000-10-21,Twente,Sparta,3.0,1.0,1.4,4.1,6.3,,,,,,,,
2000-10-22,AZ Alkmaar,Vitesse,0.0,2.0,2.75,3.15,2.2,,,,,,,,
2000-10-22,Groningen,For Sittard,4.0,0.0,1.85,3.25,3.6,,,,,,,,
2000-10-22,Utrecht,Roosendaal,5.0,3.0,1.6,3.6,4.5,,,,,,,,
2000-10-27,AZ Alkmaar,Twente,5.0,0.0,2.3,3.15,2.6,,,,,,,,
2000-10-27,For Sittard,NAC Breda,1.0,2.0,2.75,3.0,2.3,,,,,,,,
2000-10-28,Heerenveen,Graafschap,1.0,0.0,1.65,3.2,4.65,,,,,,,,
2000-10-29,Nijmegen,Willem II,3.0,0.0,2.3,3.3,2.55,,,,,,,,
2000-10-29,PSV Eindhoven,Ajax,1.0,1.0,1.9,3.3,3.2,,,,,,,,
2000-10-29,Roda JC,Waalwijk,0.0,1.0,1.65,3.3,4.5,,,,,,,,
2000-10-29,Sparta,Groningen,2.0,0.0,2.2,2.8,3.2,,,,,,,,
2000-10-29,Utrecht,Feyenoord,1.0,1.0,4.8,3.2,1.65,,,,,,,,
2000-11-01,Heerenveen,Sparta,1.0,1.0,1.45,3.6,6.0,,,,,,,,
2000-11-01,Nijmegen,Graafschap,2.0,1.0,1.8,3.2,3.8,,,,,,,,
2000-11-01,PSV Eindhoven,Vitesse,2.0,0.0,1.8,3.2,4.0,,,,,,,,
2000-11-01,Waalwijk,Utrecht,4.0,1.0,2.0,2.8,3.6,,,,,,,,
2000-11-01,Roda JC,For Sittard,1.0,0.0,1.4,3.8,6.3,,,,,,,,
2000-11-02,Feyenoord,Roosendaal,5.0,1.0,1.15,6.0,10.0,,,,,,,,
2000-11-04,NAC Breda,Nijmegen,2.0,2.0,1.95,3.2,3.5,,,,,,,,
2000-11-04,Twente,PSV Eindhoven,0.0,2.0,3.1,3.2,2.05,,,,,,,,
2000-11-05,Graafschap,Vitesse,1.0,2.0,3.3,3.1,2.05,,,,,,,,
2000-11-05,Feyenoord,Roda JC,4.0,2.0,1.35,4.2,7.3,,,,,,,,
2000-11-05,Groningen,AZ Alkmaar,1.0,2.0,2.15,3.2,2.95,,,,,,,,
2000-11-05,Roosendaal,For Sittard,3.0,1.0,2.2,3.1,2.9,,,,,,,,
2000-11-05,Utrecht,Sparta,1.0,1.0,1.66,3.4,4.45,,,,,,,,
2000-11-05,Willem II,Ajax,0.0,1.0,2.7,3.25,2.3,,,,,,,,
2000-11-10,Roosendaal,Willem II,2.0,1.0,3.1,3.3,2.0,,,,,,,,
2000-11-11,For Sittard,Waalwijk,0.0,0.0,3.15,3.3,2.0,,,,,,,,
2000-11-12,Ajax,Graafschap,4.0,1.0,1.2,5.2,9.5,,,,,,,,
2000-11-12,AZ Alkmaar,Utrecht,2.0,1.0,1.7,3.3,4.2,,,,,,,,
2000-11-12,PSV Eindhoven,Feyenoord,1.0,0.0,2.15,3.2,2.9,,,,,,,,
2000-11-12,Roda JC,Heerenveen,3.0,1.0,2.05,3.5,2.85,,,,,,,,
2000-11-12,Sparta,Nijmegen,0.0,2.0,2.65,3.0,2.4,,,,,,,,
2000-11-12,Twente,NAC Breda,4.0,0.0,1.9,3.0,3.8,,,,,,,,
2000-11-12,Vitesse,Groningen,2.0,2.0,1.25,4.8,8.5,,,,,,,,
2000-11-17,Roda JC,Utrecht,2.0,1.0,1.6,3.5,4.8,,,,,,,,
2000-11-18,For Sittard,AZ Alkmaar,1.0,1.0,3.05,3.3,2.05,,,,,,,,
2000-11-18,Heerenveen,PSV Eindhoven,1.0,4.0,2.95,3.3,2.1,,,,,,,,
2000-11-18,Vitesse,Roosendaal,2.0,1.0,1.2,5.5,10.0,,,,,,,,
2000-11-18,Willem II,Twente,2.0,2.0,2.1,3.25,3.0,,,,,,,,
2000-11-19,NAC Breda,Ajax,0.0,3.0,3.0,3.25,2.1,,,,,,,,
2000-11-19,Nijmegen,Feyenoord,1.0,3.0,2.85,3.25,2.15,,,,,,,,
2000-11-19,Waalwijk,Graafschap,1.0,0.0,1.5,3.7,5.4,,,,,,,,
2000-11-25,AZ Alkmaar,Sparta,1.0,1.0,1.5,3.6,5.8,,,,,,,,
2000-11-25,Graafschap,For Sittard,5.0,1.0,1.7,3.3,4.4,,,,,,,,
2000-11-25,Roosendaal,Roda JC,0.0,4.0,3.2,3.0,2.1,,,,,,,,
2000-11-26,Feyenoord,Willem II,1.0,0.0,1.25,4.5,8.0,,,,,,,,
2000-11-26,Nijmegen,Heerenveen,0.0,0.0,1.9,3.2,3.6,,,,,,,,
2000-11-26,PSV Eindhoven,NAC Breda,2.0,1.0,1.23,5.2,8.0,,,,,,,,
2000-11-26,Twente,Groningen,3.0,0.0,1.53,3.4,5.2,,,,,,,,
2000-11-26,Utrecht,Ajax,2.0,1.0,3.7,3.2,1.8,,,,,,,,
2000-11-28,Roda JC,Vitesse,2.0,3.0,2.2,3.45,2.65,,,,,,,,
2000-11-29,Feyenoord,Sparta,2.0,1.0,1.2,5.3,10.0,,,,,,,,
2000-11-29,Heerenveen,AZ Alkmaar,1.0,1.0,1.9,3.3,3.4,,,,,,,,
2000-11-29,Roosendaal,NAC Breda,0.0,1.0,2.4,3.3,2.5,,,,,,,,
2000-11-30,Ajax,Waalwijk,3.0,0.0,1.33,4.4,7.0,,,,,,,,
2000-12-01,Roda JC,PSV Eindhoven,1.0,2.0,3.0,3.2,2.0,,,,,,,,
2000-12-02,For Sittard,Utrecht,0.0,1.0,2.6,3.4,2.3,,,,,,,,
2000-12-02,Sparta,Graafschap,2.0,1.0,1.9,3.25,3.5,,,,,,,,
2000-12-02,Willem II,AZ Alkmaar,1.0,1.0,2.05,3.25,3.1,,,,,,,,
2000-12-03,Ajax,Heerenveen,6.0,2.0,1.33,3.9,6.8,,,,,,,,
2000-12-03,Nijmegen,Twente,1.0,0.0,2.1,2.8,3.4,,,,,,,,
2000-12-03,Waalwijk,Groningen,0.0,0.0,1.5,3.6,5.0,,,,,,,,
2000-12-09,AZ Alkmaar,Nijmegen,0.0,0.0,2.0,3.15,3.3,,,,,,,,
2000-12-09,Graafschap,Groningen,0.0,4.0,1.95,3.25,3.4,,,,,,,,
2000-12-09,For Sittard,Sparta,2.0,1.0,2.5,3.3,2.4,,,,,,,,
2000-12-09,Roda JC,Willem II,0.0,1.0,1.6,3.5,4.8,,,,,,,,
2000-12-10,Feyenoord,Ajax,3.0,1.0,1.9,3.2,3.5,,,,,,,,
2000-12-10,Utrecht,NAC Breda,5.0,0.0,1.95,3.2,3.35,,,,,,,,
2000-12-10,Vitesse,Heerenveen,0.0,0.0,1.4,4.1,6.4,,,,,,,,
2000-12-12,Waalwijk,PSV Eindhoven,1.0,1.0,4.6,3.4,1.66,,,,,,,,
2000-12-12,Twente,Roda JC,0.0,2.0,2.05,3.1,3.3,,,,,,,,
2000-12-13,For Sittard,Feyenoord,2.0,4.0,6.3,4.0,1.4,,,,,,,,
2000-12-13,Heerenveen,Willem II,0.0,1.0,1.95,3.2,3.35,,,,,,,,
2000-12-13,Sparta,NAC Breda,1.0,2.0,2.2,3.25,2.8,,,,,,,,
2000-12-13,Vitesse,AZ Alkmaar,3.0,2.0,1.47,3.7,5.7,,,,,,,,
2000-12-16,NAC Breda,Vitesse,1.0,1.0,3.0,3.5,2.0,,,,,,,,
2000-12-16,Willem II,For Sittard,3.0,1.0,1.4,4.0,6.5,,,,,,,,
2000-12-17,Ajax,Twente,5.0,1.0,1.4,3.7,7.3,,,,,,,,
2000-12-17,AZ Alkmaar,PSV Eindhoven,0.0,5.0,4.5,3.4,1.65,,,,,,,,
2000-12-17,Graafschap,Utrecht,0.0,3.0,2.45,3.0,2.65,,,,,,,,
2000-12-17,Groningen,Feyenoord,1.0,0.0,4.8,3.8,1.55,,,,,,,,
2000-12-17,Nijmegen,Roda JC,0.0,2.0,1.9,3.2,3.6,,,,,,,,
2000-12-17,Roosendaal,Heerenveen,0.0,3.0,2.7,3.3,2.2,,,,,,,,
2000-12-17,Waalwijk,Sparta,2.0,0.0,1.55,3.5,5.2,,,,,,,,
2000-12-20,Feyenoord,Vitesse,2.0,0.0,1.6,3.2,5.5,,,,,,,,
2000-12-20,Utrecht,Waalwijk,2.0,1.0,1.85,3.15,3.3,,,,,,,,
2000-12-20,Willem II,Nijmegen,2.0,0.0,1.91,3.0,4.0,,,,,,,,
2000-12-21,Groningen,Heerenveen,2.0,1.0,2.25,3.4,2.6,,,,,,,,
2000-12-21,PSV Eindhoven,For Sittard,1.0,1.0,1.1,8.0,15.0,,,,,,,,
2000-12-21,Roosendaal,Twente,2.0,2.0,3.1,3.5,1.9,,,,,,,,
2001-01-27,PSV Eindhoven,Roosendaal,6.0,0.0,1.17,5.5,11.0,,,,,,,,
2001-01-28,Feyenoord,NAC Breda,2.0,0.0,1.2,5.2,10.0,,,,,,,,
2001-01-31,For Sittard,Roda JC,1.0,0.0,3.4,3.35,1.85,,,,,,,,
2001-01-31,Heerenveen,Feyenoord,1.0,0.0,3.35,3.4,1.85,,,,,,,,
2001-01-31,Nijmegen,Roosendaal,2.0,3.0,1.4,3.8,6.3,,,,,,,,
2001-01-31,PSV Eindhoven,Groningen,3.0,0.0,1.2,5.0,9.4,,,,,,,,
2001-01-31,Vitesse,NAC Breda,2.0,4.0,1.37,3.9,6.75,,,,,,,,
2001-01-31,Willem II,Sparta,4.0,1.0,1.4,3.85,6.1,,,,,,,,
2001-02-01,Graafschap,Ajax,1.0,3.0,4.1,3.4,1.67,,,,,,,,
2001-02-03,Roosendaal,Waalwijk,0.0,3.0,2.75,3.1,2.25,,,,,,,,
2001-02-03,Twente,Willem II,3.0,1.0,2.1,3.2,2.9,,,,,,,,
2001-02-04,AZ Alkmaar,Feyenoord,0.0,3.0,3.65,3.2,1.8,,,,,,,,
2001-02-04,For Sittard,Graafschap,0.0,0.0,2.15,3.0,2.95,,,,,,,,
2001-02-04,Sparta,PSV Eindhoven,0.0,1.0,5.7,3.6,1.45,,,,,,,,
2001-02-04,Vitesse,Nijmegen,2.0,2.0,1.51,3.4,5.4,,,,,,,,
2001-02-09,Graafschap,Sparta,2.0,1.0,1.9,3.2,3.4,,,,,,,,
2001-02-10,PSV Eindhoven,AZ Alkmaar,3.0,0.0,1.2,4.9,10.0,,,,,,,,
2001-02-11,Ajax,Willem II,1.0,1.0,1.35,4.1,6.5,,,,,,,,
2001-02-11,Feyenoord,Groningen,1.0,0.0,1.17,5.3,10.5,,,,,,,,
2001-02-11,Waalwijk,Vitesse,3.0,0.0,2.4,3.0,2.6,,,,,,,,
2001-02-11,Roda JC,Roosendaal,2.0,1.0,1.3,4.4,7.2,,,,,,,,
2001-02-11,Utrecht,Nijmegen,1.0,1.0,1.95,3.2,3.25,,,,,,,,
2001-02-16,For Sittard,Ajax,0.0,3.0,4.35,3.4,1.64,,,,,,,,
2001-02-17,Heerenveen,Roda JC,0.0,0.0,2.17,3.0,2.95,,,,,,,,
2001-02-17,Roosendaal,AZ Alkmaar,2.0,3.0,2.62,3.1,2.35,,,,,,,,
2001-02-18,Groningen,Twente,2.0,0.0,2.15,2.95,3.05,,,,,,,,
2001-02-18,NAC Breda,PSV Eindhoven,1.0,2.0,4.15,3.3,1.7,,,,,,,,
2001-02-18,Sparta,Waalwijk,2.0,2.0,2.7,3.0,2.32,,,,,,,,
2001-02-18,Utrecht,Graafschap,3.0,1.0,1.53,3.4,5.4,,,,,,,,
2001-02-21,NAC Breda,Twente,0.0,0.0,2.0,3.2,3.1,,,,,,,,
2001-02-23,Nijmegen,Sparta,0.0,3.0,1.48,3.6,5.7,,,,,,,,
2001-02-23,Willem II,Heerenveen,1.0,6.0,1.72,3.4,3.9,,,,,,,,
2001-02-24,AZ Alkmaar,Roda JC,2.0,4.0,2.45,3.0,2.55,,,,,,,,
2001-02-24,Waalwijk,For Sittard,1.0,0.0,1.42,3.6,6.7,,,,,,,,
2001-02-24,Twente,Vitesse,2.0,1.0,2.48,2.9,2.57,,,,,,,,
2001-02-25,Ajax,Utrecht,2.0,0.0,1.35,4.0,7.2,,,,,,,,
2001-02-25,Feyenoord,PSV Eindhoven,1.0,2.0,2.2,3.0,2.75,,,,,,,,
2001-02-25,Groningen,NAC Breda,0.0,0.0,2.12,3.2,2.85,,,,,,,,
2001-03-02,Heerenveen,Groningen,0.0,0.0,1.75,3.3,4.1,,,,,,,,
2001-03-02,Waalwijk,NAC Breda,0.0,0.0,1.7,3.4,4.2,,,,,,,,
2001-03-03,PSV Eindhoven,Roda JC,0.0,0.0,1.35,4.1,7.2,,,,,,,,
2001-03-03,Willem II,Graafschap,6.0,0.0,1.47,3.7,5.8,,,,,,,,
2001-03-04,Nijmegen,AZ Alkmaar,1.0,1.0,1.95,3.2,3.4,,,,,,,,
2001-03-04,Roosendaal,Ajax,1.0,3.0,5.75,3.8,1.45,,,,,,,,
2001-03-04,Sparta,Twente,5.0,1.0,2.55,3.0,2.5,,,,,,,,
2001-03-04,Utrecht,For Sittard,1.0,0.0,1.42,3.9,6.2,,,,,,,,
2001-03-04,Vitesse,Feyenoord,0.0,0.0,2.65,3.1,2.35,,,,,,,,
2001-03-09,Graafschap,Heerenveen,0.0,1.0,2.55,3.1,2.45,,,,,,,,
2001-03-09,Roda JC,NAC Breda,1.0,0.0,1.6,3.5,4.75,,,,,,,,
2001-03-10,AZ Alkmaar,Waalwijk,1.0,3.0,2.32,3.1,2.7,,,,,,,,
2001-03-10,For Sittard,Roosendaal,2.0,1.0,1.85,3.2,3.7,,,,,,,,
2001-03-10,Twente,Nijmegen,1.0,1.0,1.85,3.0,4.0,,,,,,,,
2001-03-11,Groningen,Ajax,3.0,3.0,3.85,3.2,1.8,,,,,,,,
2001-03-11,Utrecht,Vitesse,0.0,0.0,2.28,3.1,2.8,,,,,,,,
2001-03-11,Willem II,Feyenoord,3.0,1.0,3.15,3.05,2.1,,,,,,,,
2001-03-16,Roosendaal,Vitesse,0.0,3.0,3.6,3.3,1.85,,,,,,,,
2001-03-17,AZ Alkmaar,For Sittard,0.0,2.0,1.58,3.55,4.8,,,,,,,,
2001-03-17,NAC Breda,Heerenveen,2.0,2.0,2.15,3.15,2.95,,,,,,,,
2001-03-17,Roda JC,Graafschap,3.0,1.0,1.32,4.2,7.0,,,,,,,,
2001-03-18,Ajax,Sparta,9.0,0.0,1.27,4.65,8.3,,,,,,,,
2001-03-18,Feyenoord,Twente,5.0,1.0,1.3,4.5,7.5,,,,,,,,
2001-03-18,Nijmegen,Groningen,1.0,0.0,1.92,3.15,3.5,,,,,,,,
2001-03-18,PSV Eindhoven,Utrecht,5.0,1.0,1.28,4.6,8.0,,,,,,,,
2001-03-18,Waalwijk,Willem II,3.0,2.0,1.95,3.15,3.4,,,,,,,,
2001-03-31,AZ Alkmaar,Graafschap,0.0,1.0,1.65,3.45,4.4,,,,,,,,
2001-03-31,Heerenveen,Roosendaal,2.0,0.0,1.4,4.0,6.5,,,,,,,,
2001-03-31,NAC Breda,For Sittard,1.0,0.0,1.7,3.3,4.3,,,,,,,,
2001-03-31,PSV Eindhoven,Twente,2.0,1.0,1.25,4.75,8.8,,,,,,,,
2001-03-31,Willem II,Roda JC,1.0,1.0,2.2,3.1,2.9,,,,,,,,
2001-04-01,Groningen,Vitesse,0.0,1.0,2.5,3.2,2.4,,,,,,,,
2001-04-01,Nijmegen,Ajax,1.0,0.0,3.55,3.3,1.85,,,,,,,,
2001-04-01,Waalwijk,Feyenoord,2.0,0.0,3.05,3.2,2.1,,,,,,,,
2001-04-01,Sparta,Utrecht,0.0,1.0,2.4,3.25,2.5,,,,,,,,
2001-04-06,Utrecht,AZ Alkmaar,1.0,0.0,1.67,3.4,4.5,,,,,,,,
