fecha,team1,team2,league,market,label,prob,hit,mia,cuota
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +11.5",0.3753,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +10.5",0.4939,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +9.5",0.6168,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +8.5",0.7324,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +7.5",0.8305,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +12.5",0.2533,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +11.5",0.3559,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +10.5",0.4736,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +9.5",0.5975,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +8.5",0.7160,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +7.5",0.8180,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tarjetas,"Tarjetas totales +5.5",0.1091,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tarjetas,"Tarjetas totales +4.5",0.2252,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tarjetas,"Tarjetas totales +3.5",0.4047,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tarjetas,"Tarjetas totales +2.5",0.6268,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tarjetas,"Tarjetas totales +1.5",0.8330,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Mitades,"Gol en 1ª parte",0.7144,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Mitades,"Gol en 2ª parte",0.8534,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Gana Curazao",0.1102,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Empate",0.2032,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Gana Costa de Marfil",0.6866,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Curazao o empate (1X)",0.3134,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Costa de Marfil o empate (X2)",0.8898,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,1X2,"Sin empate (12)",0.7968,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Goles,"Más de 5.5 goles",0.1198,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Goles,"Más de 4.5 goles",0.2435,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Goles,"Más de 3.5 goles",0.4282,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Goles,"Más de 2.5 goles",0.6488,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Goles,"Más de 1.5 goles",0.8624,1,0,
